clause_text,clause_type
"Marketing and Publicity. Each party may use the other party’s Brand Features in connection with the Agreement as permitted in the Agreement. Customer may state publicly that it is a Google customer and display Google Brand Features in accordance with the Trademark Guidelines. Customer and Google will work together on an announcement of Customer being a Google customer, which will take place on a mutually agreed upon date within 6 months of the Effective Date. Additionally, with prior written consent, the parties may engage in joint marketing activities such as customer testimonials, announcements, press engagements, public speaking events, and analyst interviews. A party may revoke the other party’s right to use its Brand Features with 30 days’ written notice. Any use of a party’s Brand Features will inure to the benefit of the party holding Intellectual Property Rights to those Brand Features.",marketing
"Marketing and Publicity. Renter agrees to advise The College in advance of publication of all marketing and publicity materials or circumstances in which the College’s organization name and Building will be named. When included in marketing, “Ivy Tech John Waldron Arts Center” or “Ivy Tech Waldron” must be used.",marketing
"Marketing and Publicity. UUNET and Customer will design and implement a joint marketing program, and promptly after execution of this Agreement the respective points of contract of each party shall",marketing
"Marketing and Publicity. The Administrator and the City may, in their sole and absolute discretion, promote or market Lender’s role in the Program, including details of the Loan, E nergy Measuresthe energy measures and Energy Data of any Effective Project, by using Lender’s Marketing Material, that includes the copyrighted, trademarked or registered names or logos of Lender for the purposes of publicly promoting the Program, in any medium, now or hereafter derived, during the period in which Lender is a Qualified Lender. L ender shall not promote, m arket or otherwise utilize the names or logos of the Administrator, the City or the Program in a ny Marketing Material or otherwise, without the prior written consent of the Administrator (such c onsent not to be unreasonably withheld, conditioned or delayed). As used herein, the term “Marketing Material” means each advertisement, media interview, press or public statement, marketing material, signage, banner, report, white paper, information on websites and any other material developed by or prepared for any Lender for any marketing, sales, advertising, publicity, public relations or other purposes.",marketing
Marketing and Publicity. Customer may state publicly that it is a Google customer and display Google Brand Features in accordance with the Trademark Guidelines. Google may use Customer's name and Brand Features in online or offline promotional materials of the Services. Each party may use the other party’s Brand Features only as permitted in the Agreement. Any use of a party’s Brand Features will inure to the benefit of the party holding Intellectual Property Rights to those Brand Features.,marketing
"Marketing and Publicity. Upon execution of this Agreement, Ping Identity may identify Customer as a customer of Ping Identity on Ping Identity’s website as well as within any written and/or electronic marketing material relating to Ping Identity’s products and/or services.",marketing
"Marketing and Publicity. Contractor will not use Gogo’s or United’s logotypes, trade names, trademarks, service marks, or other proprietary marks or words, in any public statements, press releases, advertising or promotional materials with respect to the Wi-Fi Services or this Amendment without the respective party’s consent, except where a specific use has been approved in advance and in writing (e-mail will constitute a writing for this purpose).",marketing
Marketing and Publicity. 7.1. All parties to this Memorandum of Understanding agree to work collaboratively to market the Humber Enterprise Zone with the aim of attracting investment to the Humber area.,marketing
Marketing and Publicity. 7.1 The Client shall be solely responsible for marketing and promoting the Information Services.,marketing
Marketing and Publicity. 4.1 …. shall not use any advertising promotional or selling materials in relation to this Agreement except those supplied or approved by the University.,marketing
"Marketing and Publicity. Neither party will, without the prior written consent of the other party in each instance: (i) publicly use the other party's name, logos, or other trademarks, or refer to the relationship between the parties in any media release or other public announcement; or (ii) represent, directly or indirectly, that any product or service provided by such party has been approved or endorsed by the other party.",marketing
Marketing and Publicity. 11.1 The Customer permits Nviron to provide details of the Customer to Nviron’s customers and potential customers for the purposes of informing them that the Customer has received services from Nviron (including providing details of the Services) and for the Customer to be contacted by them for a reference relating to Nviron’s services.,marketing
