clause_text,clause_type
Binding Effect. This Agreement shall be binding upon and inure to the benefit of the parties hereto and their respective successors and permitted assigns.,binding-effect
"Binding Effect. This Agreement shall be binding upon and inure to the benefit of the parties hereto and their heirs, executors, administrators, successors, legal representatives and permitted assigns.",binding-effect
"Binding Effect. This Agreement shall be binding upon and inure to the benefit of the respective parties hereto and their legal representatives, successors and assigns.",binding-effect
"Binding Effect. This Agreement shall inure solely to the benefit of and shall be binding upon the Representative, the Underwriters, the Company and the controlling persons, directors and officers referred to in Section 5 hereof, and their respective successors, legal representatives, heirs and assigns, and no other person shall have or be construed to have any legal or equitable right, remedy or claim under or in respect of or by virtue of this Agreement or any provisions herein contained. The term “successors and assigns” shall not include a purchaser, in its capacity as such, of securities from any of the Underwriters.",binding-effect
Binding Effect. This Amendment shall be binding upon and inure to the benefit of each of the parties hereto and their respective successors and assigns.,binding-effect
"Binding Effect. This Agreement shall be binding upon the parties hereto and inure to the benefit of the parties, their respective heirs, administrators, executors, successors and assigns.",binding-effect
"Binding Effect. Each Transaction Document to which the Seller is a party constitutes the legal, valid and binding obligation of the Seller enforceable against the Seller in accordance with its terms, except as such enforceability may be limited by applicable bankruptcy, insolvency, reorganization, moratorium, receivership, conservatorship or other similar laws affecting the enforcement of creditors’ rights generally and, if applicable, the rights of creditors of limited liability companies from time to time in effect or by general principles of equity.",binding-effect
"Binding Effect. Each of the undersigned expressly warrants and represents that he has the full power and authority to sign this Agreement on behalf of the party indicated, and that his signature will operate to bind the party indicated to the foregoing terms.",binding-effect
"Binding Effect. This Agreement shall bind the Executive and the Company, and their beneficiaries, survivors, executors, successors, administrators and transferees.",binding-effect
"Binding Effect. This Agreement shall be binding upon and inure to the benefit of the Parties and their respective legal representatives, successors and permitted assigns.",binding-effect
Binding Effect. This Agreement shall be binding upon and inure to the benefit of any successors to the Company and all persons lawfully claiming under Employee.,binding-effect
"Binding Effect. This Agreement has been, and each other Loan Document, when delivered, will have been, duly executed and delivered by each Loan Party that is party thereto. This Agreement constitutes, and each other Loan Document when so delivered will constitute, a legal, valid and binding obligation of such Loan Party, enforceable against each Loan Party that is party thereto in accordance with its terms, subject to applicable bankruptcy, insolvency, reorganization, moratorium or other laws affecting creditors’ rights generally and subject to general principles of equity, regardless of whether considered in a proceeding in equity or at law.",binding-effect
"Binding Effect. This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties hereto and their respective successors (including any direct or indirect successor by purchase, merger, consolidation, or otherwise to all or substantially all of the business and/or assets of the Company), assigns, spouses, heirs, and personal and legal representatives. The Company shall require and cause any successor (whether direct or indirect by purchase, merger, consolidation, or otherwise) to all, substantially all, or a substantial part, of the business and/or assets of the Company, by written agreement in form and substance satisfactory to Indemnitee, expressly to assume and agree to perform this Agreement in the same manner and to the same extent that the Company would be required to perform if no such succession had taken place. The indemnification provided under this Agreement shall continue as to Indemnitee for any action taken or not taken while serving in an indemnified capacity pertaining to an Indemnifiable Event even though he may have ceased to serve in such capacity at the time of any Proceeding.",binding-effect
"Binding Effect. Forwarding this Agreement to the Allottee by the Promoter does not create a binding obligation on the part of the Promoter or the Allottee until, firstly, the Allottee signs and delivers this Agreement with all the schedules along with the payments due as stipulated in the Payment Plan within 30 (thirty) days from the date of receipt by the Allottee and secondly, appears for registration of the same before the concerned Sub-Registrar (specify the address of the Sub-Registrar) as and when intimated by the Promoter. If the Allottee(s) fails to execute and deliver to the Promoter this Agreement within 30 (thirty) days from the date of its receipt by the Allottee and/or appear before the Sub-Registrar for its registration as and when intimated by the Promoter, then the Promoter shall serve a notice to the Allottee for rectifying the default, which if not rectified within 30 (thirty) days from the date of its receipt by the Allottee, application of the Allottee shall be treated as cancelled and all sums deposited by the Allottee in connection therewith including the booking amount shall be returned to the Allottee without any interest or compensation whatsoever.",binding-effect
Binding Effect. The provisions of this Agreement shall be binding upon and inure to the benefit of the parties hereto and their permitted successors and assigns.,binding-effect
"Binding Effect. This Agreement has been, and each other Loan Document, when delivered hereunder, will have been, duly executed and delivered by each Loan Party that is party thereto. This Agreement constitutes, and each other Loan Document when so delivered will constitute, a legal, valid and binding obligation of such Loan Party, enforceable against each Loan Party that is party thereto in accordance with its terms, except as enforcement may be limited by Debtor Relief Laws or general equitable principles relating to or limiting creditors’ rights generally.",binding-effect
"Binding Effect. This Agreement shall be binding upon and inure to the benefit of the parties hereto and their respective successors, heirs, personal representatives, legal representatives, and permitted assigns.",binding-effect
"Binding Effect. This Agreement shall inure to and be binding upon the heirs, executors, personal representatives, successors and assigns of each of the parties to this Agreement.",binding-effect
"Binding Effect. All of the terms of this Agreement, as amended from time to time, shall be binding upon, inure to the benefit of and be enforceable by the respective heirs, successors and assigns of the Investor, the Company, or the Escrow Agent.",binding-effect
"Binding Effect. Except as otherwise provided herein, this Agreement shall be binding upon and shall inure to the benefit of the parties hereto and their respective legal representatives, heirs, successors and assigns.",binding-effect
"Binding Effect. This Agreement shall become effective (other than Sections 2.01 and 2.03, which shall only become effective upon satisfaction of the conditions precedent set forth in Section 3.01) when it shall have been executed by the Borrower and the Agent and when the Agent shall have been notified by each Initial Lender that such Initial Lender has executed it and thereafter shall be binding upon and inure to the benefit of the Borrower, the Agent and each Lender and their respective successors and assigns, except that the Borrower shall not have the right to assign its rights hereunder or any interest herein without the prior written consent of the Lenders.",binding-effect
"Binding Effect. This Agreement has been, and each other Loan Document, when delivered hereunder, will have been, duly executed and delivered by each Loan Party that is party thereto. This Agreement constitutes, and each other Loan Document when so delivered will constitute, a legal, valid and binding obligation of such Loan Party, enforceable against each Loan Party that is party thereto in accordance with its terms.",binding-effect
Binding Effect. This Agreement shall be binding upon and inure to the benefit of the Members and their respective successors and assigns.,binding-effect
"Binding Effect. Except as otherwise provided in this Agreement, every covenant, term and provision of this Agreement shall be binding upon and inure to the benefit of the Member and its heirs, legatees, legal representatives, successors, transferees and assigns.",binding-effect
"Binding Effect. This Agreement shall inure to the benefit of the successors and assigns of the Company and, subject to the restrictions on transfer set forth herein, be binding upon the Participant and the Participant’s heirs, executors, administrators, successors and assigns.",binding-effect
"Binding Effect. This Agreement shall be binding upon and inure to the benefit of the parties hereto and their respective successors and permitted assigns. This Agreement shall create and constitute the continuing obligations of the parties hereto in accordance with its terms, and shall remain in full force and effect until such time as the parties hereto shall agree.",binding-effect
"Binding Effect. Subject to the provisions of this Agreement relating to transferability, this Agreement will be binding upon and shall inure to the benefit of the parties, and their respective distributees, heirs, successors and assigns.",binding-effect
"Binding Effect. This Agreement and each other Transaction Document to which such Seller Party is a party constitute the legal, valid and binding obligations of such Seller Party enforceable against such Seller Party in accordance with their respective terms, except as such enforcement may be limited by applicable bankruptcy, insolvency, reorganization or other similar laws relating to or limiting creditors’ rights generally and by general principles of equity (regardless of whether enforcement is sought in a proceeding in equity or at law).",binding-effect
